ID,SOURCE,MAP_KEY_LOC,MAP_KEY_NO,COMPANY_NAME,FACILITY_ID,ADDRESS1,ADDRESS2,CITY,PROV,POSTAL_CODE,X_NAD_83,Y_NAD_83,DISTANCE_METERS,DISTANCE_MILES,DISTANCE_FEET,DIRECTION,ELEV_METERS,ELEV_METERS_DIFF,ELEV_FEET,ELEV_FEET_DIFF,ADDITIONAL_INFO1,ADDITIONAL_INFO2,NOTES,
813496542,AST,22,1,FRONTIER FL LLC-SULPHUR SPRINGS,,8502 N ASHLEY ST,,TAMPA,FL,33604,-82.461971,28.02781,281.610993,0.174984958,923.9205804,NW,11.771753,-4.95,38.62123688,-16,Facility ID | Facility Status: 8627769 | OPEN,Tank Status | Status Date: U - IN SERVICE |,,
922834290,CLEANUP DEP,33,1,YUKON & TAMPA (COT LF #38) / HAWLEY PROPERTY,,YUKON & TAMPA,,Tampa,FL,33604,-82.4604581,28.02897381,352.3586912,0.21894554,1156.032451,N,8.654062,-8.07,28.39259186,-26,,,,
894733357,CLEANUP DEP,47,1,HILLSBOROUGH RIVER ABANDONED DRUM,,SEE COORDINATES,,TAMPA,FL,33602,-82.45746,28.02147,490.0389712,0.3044961,1607.739406,SSE,2.965662,-13.76,9.7298622,-45,,,,
891486876,CLEANUP DEP,58,1,Northgate Shopping Center,,8805 N Florida Ave,,Tampa,FL,33604-1415,-82.45850576,28.03097564,584.4683288,0.363171782,1917.54701,NNE,9.329817,-7.39,30.60963583,-24,,,,
814068025,DEL CONTAM SITE,6,1,RIVERAS GAS STATION,,8325 N FLORIDA AVE,,TAMPA,FL,33604,-82.45914623,28.02495061,73.4486831,0.045638896,240.9733696,SE,15.884921,-0.84,52.11588255,-3,,,,
814069283,DEL CONTAM SITE,29,1,DISCOUNT AUTO PARTS #8,,8623 N FLORIDA AVE,,TAMPA,FL,33604,-82.459121,28.02878,334.2920071,0.207719423,1096.758553,NNE,8.624975,-8.1,28.29716207,-27,,,,
893743056,DEL STORAGE TANK,6,2,WAWA FOOD MARKET# 5196,,8325 N FLORIDA AVE,,TAMPA,FL,33604-3005,-82.45914623,28.02495061,73.4486831,0.045638896,240.9733696,SE,15.884921,-0.84,52.11588255,-3,,,,
891480763,DELISTED WCP,46,1,HILLSBOROUGH RIVER ABANDONED DRUM,,SEE COORDINATES,,TAMPA,FL,33602,-82.45746502,28.02147661,489.1643768,0.303952652,1604.870002,SSE,2.965662,-13.76,9.7298622,-45,,,,
891484166,DELISTED WCP,91,1,Pioneer Cleaners Corp,,7204 N Florida Ave,,Tampa,FL,33604-4836,-82.4598359,28.01391162,1278.156966,0.794209918,4193.428365,S,6.9703054,-9.75,22.86845604,-32,,,,
902950514,DWM CONTAM,3,1,KASH N KARRY #427,,120 W WATERS AVE,,TAMPA,FL,33604,-82.459758,28.025293,17.04478658,0.010591139,55.9212158,SSE,16.228191,-0.49,53.24209646,-2,Facility ID: 8625154,,,
